entity_id,entity_type,department,home_country,default_city,default_ip,default_device,preferred_login_window,preferred_auth_method,preferred_resources
0807daf0-be91-4c1a-a79c-9396bac73ebf,User,Engineering,Austria,Nortonport,177.239.26.180,macOS 13 - Chrome,08:00-18:00,MFA,"HRIS,Confluence,Email"
a59c4ebf-5655-4c3e-988b-1a4ea91781fe,User,Finance,Korea,North Kimberlytown,77.50.200.16,macOS 13 - Chrome,08:00-17:00,SSO,"VPN,AWS Console,Intranet,Confluence"
c6bb7a02-5266-4df3-a150-2297366b0fb0,User,HR,Greece,West Sheilaside,25.203.23.209,macOS 13 - Chrome,07:00-16:00,MFA,"Email,HRIS"
5b49be46-937b-462a-9970-0e634f48a680,User,Finance,North Macedonia,North Amandaborough,192.148.107.47,macOS 13 - Firefox,11:00-20:00,Password,VPN
ad4486ce-cb5f-483d-82c8-8276c2600b54,User,HR,Iran,Robinsonport,41.223.222.196,Windows 11 - Firefox,07:00-16:00,Password,"CRM,Jira,Confluence"
6975e23c-3786-4461-bd42-551ffae47b36,User,Sales,Denmark,Lake Derrick,211.13.125.142,Windows 11 - Edge,06:00-15:00,SSO,Email
d8478ef5-df0f-4110-97eb-d29e5fe00b1d,Device,IT,Azerbaijan,Cherylstad,56.132.159.134,Load Balancer,11:00-19:00,SSO,"Database,Confluence"
2bd8944f-3114-4141-bf95-a9225fedf314,User,Operations,Mexico,Riveraborough,103.177.191.16,Windows 10 - Firefox,10:00-18:00,MFA,"HRIS,VPN,Confluence,Jira"
fd15e74d-867c-4c96-8be5-bd42c9992a55,Device,IT,Christmas Island,South Kenneth,175.243.217.225,Load Balancer,06:00-15:00,SSO,CRM
a64a4c27-8469-4342-a0cc-64879493034c,User,Marketing,Comoros,Cainchester,192.251.47.106,Windows 10 - Edge,11:00-21:00,Hardware Token,"HRIS,Jira"
16fa9dad-342c-402d-a958-1a6f580081f2,User,Engineering,Cocos (Keeling) Islands,South Shirleymouth,45.63.31.190,Windows 11 - Chrome,07:00-15:00,SSO,"HRIS,VPN,Email"
d9458b7c-5d7b-44a4-b0e2-367a97e82aa7,User,Finance,Japan,Bakerfort,25.99.199.124,Ubuntu 22.04 - Firefox,07:00-17:00,Biometric,"Email,HRIS"
48757d39-d362-443e-bb01-087cfa8523bf,User,Marketing,Swaziland,South Ryanview,195.92.62.127,Windows 11 - Firefox,10:00-18:00,SSO,"Jira,VPN,AWS Console,GitLab"
a51da90c-f3fc-4ccf-89fe-4daf9fc71edf,User,HR,Malta,South Christopher,71.77.36.121,macOS 13 - Firefox,11:00-21:00,SSO,"Jira,Confluence,AWS Console,HRIS"
03f12768-e2ac-475d-beb1-037a16bf7398,User,Engineering,Tuvalu,Nicolefurt,152.61.227.10,Ubuntu 22.04 - Chrome,06:00-15:00,Password,"Jira,GitLab"
b946f1a1-13a1-4bfa-b48a-9a99606a8371,User,Finance,Colombia,South Ashleybury,164.129.15.99,Windows 10 - Firefox,06:00-16:00,Hardware Token,Email
eccd6861-c31a-4a95-9102-6236607a5e53,User,Sales,Malawi,Claudiahaven,129.113.102.220,Windows 11 - Edge,06:00-16:00,Biometric,"Email,Confluence"
