entity_id,entity_type,department,home_country,default_city,default_ip,default_device,preferred_login_window,preferred_auth_method,preferred_resources
571cfc2a-34b4-42c7-bad7-0202f22e622c,User,Executive,El Salvador,West Jessicastad,148.136.216.42,Windows 11 - Firefox,10:00-19:00,Hardware Token,"Jira,CRM,Email"
c5e1c6c2-b18f-48fb-9c96-80386e3dfd1e,Device,IT,Poland,Clarkland,197.83.178.210,IoT Sensor,09:00-18:00,SSO,Jira
0e1363dc-ef7b-4963-bfc5-2dc641d1f704,User,Sales,Lesotho,Krystalborough,49.32.224.22,macOS 13 - Firefox,09:00-19:00,Biometric,"Database,AWS Console,HRIS"
4f0a1430-ce53-417b-bd1e-b322e6739cef,User,Sales,Guadeloupe,Johnmouth,186.192.126.94,Windows 10 - Edge,11:00-19:00,SSO,"Email,VPN,Jira"
4f085fb6-cb5d-4c17-b76d-1f9369e38a68,User,Engineering,Micronesia,Rossville,15.123.97.185,Windows 10 - Chrome,11:00-19:00,SSO,"CRM,VPN"
f2afaa06-5403-4068-bb02-9a85a943c562,Device,IT,Denmark,Virginiaport,12.122.15.44,Load Balancer,10:00-20:00,Hardware Token,"Database,Intranet"
1be0ac9e-6efa-45cc-b10e-2ad24a89c0cf,User,Sales,Denmark,Tammytown,37.7.108.45,macOS 13 - Edge,07:00-17:00,SSO,"Jira,AWS Console,VPN"
ce5835e4-85e8-4317-a88b-5269181e2e25,User,Engineering,Micronesia,Aliciamouth,196.77.213.120,Ubuntu 22.04 - Safari,07:00-17:00,Password,Jira
43a22b43-d373-4269-8982-b5cde3845ef9,User,Engineering,Dominica,Tylerland,63.29.250.227,Windows 10 - Chrome,10:00-20:00,Hardware Token,Email
88823324-6f87-4caf-8b3d-e4e0325d73e3,User,IT,United Arab Emirates,West Danielfort,163.223.225.82,macOS 13 - Safari,09:00-17:00,Password,"AWS Console,Intranet,HRIS,CRM"
74eb41e0-bc37-42f5-9e02-349343f1fbb7,User,Engineering,Cayman Islands,Rasmussenfort,199.241.3.43,Windows 10 - Firefox,07:00-16:00,Password,"Jira,AWS Console,Intranet,CRM"
221788e9-762a-4e78-8a3d-94e76adfd176,User,Sales,Austria,Millerbury,113.40.248.69,Ubuntu 22.04 - Edge,07:00-16:00,Hardware Token,"AWS Console,HRIS,CRM,Email"
8dc6619e-6922-42a9-8be1-4d15623a215d,User,IT,Samoa,Stevenview,178.148.47.186,Windows 10 - Chrome,08:00-18:00,SSO,"GitLab,Database,Confluence,AWS Console"
34197a22-a4da-47c3-925e-10a37b2c4db0,User,Engineering,Russian Federation,Lake Richard,214.21.74.63,Windows 10 - Firefox,10:00-18:00,SSO,AWS Console
7071004a-a81d-499f-bd00-6e2528ca694f,User,IT,Brunei Darussalam,Bradyborough,152.147.95.144,Windows 11 - Chrome,10:00-19:00,Password,"Intranet,Confluence"
8078109a-4118-49b9-a8e4-ceaeb39769e6,User,Sales,Wallis and Futuna,Lake Joshuaburgh,31.4.61.43,macOS 13 - Chrome,08:00-16:00,MFA,"GitLab,Database,Intranet"
8be642f3-9730-46cc-b23e-2b3518353561,User,Finance,Mozambique,Lake Heather,205.176.9.67,Windows 10 - Safari,07:00-15:00,Biometric,AWS Console
81db3fba-6f0a-47c8-b94b-96cd16d5076a,User,Finance,Austria,East Joshua,101.223.57.192,Windows 11 - Safari,10:00-19:00,Password,"AWS Console,HRIS,Intranet"
31c164d4-14f0-4ae5-926e-ac18d9541c50,User,Executive,British Indian Ocean Territory (Chagos Archipelago),Geraldfort,83.52.152.152,Windows 10 - Safari,10:00-18:00,Biometric,"CRM,Email,VPN,Database"
